X,Y,OBJECTID,RTE,RTE_SFX,DIST,CNTY,PM_PFX,POSTMILE,PM_SFX,LEG,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,TRK_2_AXLE,TRK_2_AXLE_PCT,TRK_3_AXLE,TRK_3_AXLE_PCT,TRK_4_AXLE,TRK_4_AXLE_PCT,TRK_5_AXLE,TRK_5_AXLE_PCT,EAL,EST_VER_YEAR,EST_VER_CODE
-118.249924063,34.102615407,569,5,,7,LA,,22.548,,B,"LOS ANGELES, JCT. RTE. 2, GLENDALE FREEWAY",261000,13311,5.1,3510,26.37,1194,8.97,389,2.92,8218,61.74,"3,125",12,E
-118.249964423,34.102395384,570,5,,7,LA,,22.548,,B,"LOS ANGELES, JCT. RTE. 2, GLENDALE FREEWAY",261000,13311,5.1,3510,26.37,1194,8.97,389,2.92,8218,61.74,"3,125",12,E
-118.249924063,34.102615407,571,5,,7,LA,,22.548,,A,"LOS ANGELES, JCT. RTE. 2, GLENDALE FREEWAY",219000,14585,6.66,3846,26.37,1308,8.97,426,2.92,9005,61.74,"3,424",11,E
-118.249964423,34.102395384,572,5,,7,LA,,22.548,,A,"LOS ANGELES, JCT. RTE. 2, GLENDALE FREEWAY",219000,14585,6.66,3846,26.37,1308,8.97,426,2.92,9005,61.74,"3,424",11,E
-118.277549183,34.1408491020001,573,5,,7,LA,,25.781,,B,"LOS ANGELES, COLORADO BOULEVARD EXTENSION INTERCHANGE",232000,14570,6.28,4123,28.3,1326,9.1,466,3.2,8655,59.4,"3,321",13,V
-118.277783015,34.14081349,574,5,,7,LA,,25.781,,B,"LOS ANGELES, COLORADO BOULEVARD EXTENSION INTERCHANGE",232000,14570,6.28,4123,28.3,1326,9.1,466,3.2,8655,59.4,"3,321",13,V
-118.289113309,34.1554352380001,575,5,,7,LA,,27.08,,B,"LOS ANGELES, JCT. RTE. 134, VENTURA FREEWAY",242000,14907,6.16,3931,26.37,1337,8.97,435,2.92,9204,61.74,"3,500",11,E
-118.289446444,34.155425656,576,5,,7,LA,,27.08,,B,"LOS ANGELES, JCT. RTE. 134, VENTURA FREEWAY",242000,14907,6.16,3931,26.37,1337,8.97,435,2.92,9204,61.74,"3,500",11,E
-118.289113309,34.1554352380001,577,5,,7,LA,,27.08,,A,"LOS ANGELES, JCT. RTE. 134, VENTURA FREEWAY",222000,15473,6.97,4238,27.39,1700,10.99,738,4.77,8796,56.85,"3,448",11,E
-118.289446444,34.155425656,578,5,,7,LA,,27.08,,A,"LOS ANGELES, JCT. RTE. 134, VENTURA FREEWAY",222000,15473,6.97,4238,27.39,1700,10.99,738,4.77,8796,56.85,"3,448",11,E
-118.409730767,34.23335831,579,5,,7,LA,,36.358,,B,"LOS ANGELES, JCT. RTE. 170, HOLLYWOOD FREEWAY",182000,11593,6.37,2959,25.52,1301,11.22,474,4.09,6860,59.17,"2,660",16,V
-118.410212301,34.233163635,580,5,,7,LA,,36.358,,B,"LOS ANGELES, JCT. RTE. 170, HOLLYWOOD FREEWAY",182000,11593,6.37,2959,25.52,1301,11.22,474,4.09,6860,59.17,"2,660",16,V
-118.409730767,34.23335831,581,5,,7,LA,,36.358,,A,"LOS ANGELES, JCT. RTE. 170, HOLLYWOOD FREEWAY",274000,20386,7.44,5480,26.88,1918,9.41,879,4.31,12107,59.39,"4,674",11,E
-118.410212301,34.233163635,582,5,,7,LA,,36.358,,A,"LOS ANGELES, JCT. RTE. 170, HOLLYWOOD FREEWAY",274000,20386,7.44,5480,26.88,1918,9.41,879,4.31,12107,59.39,"4,674",11,E
-118.44335632,34.2667154600001,583,5,,7,LA,,39.361,,B,"LOS ANGELES, JCT. RTE. 118, RONALD REAGAN FREEWAY",271000,21057,7.77,5607,26.63,1817,8.63,859,4.08,12773,60.66,"4,896",11,E
-118.443587926,34.2666851640001,584,5,,7,LA,,39.361,,B,"LOS ANGELES, JCT. RTE. 118, RONALD REAGAN FREEWAY",271000,21057,7.77,5607,26.63,1817,8.63,859,4.08,12773,60.66,"4,896",11,E
-118.460523864,34.285646082,585,5,,7,LA,,41,,B,"S/O JCT RTE 405;N/O RINALDI ST",174000,5255,3.02,3190,60.7,838,15.94,600,11.41,628,11.95,494,17,V
-118.460461069,34.285488769,586,5,,7,LA,,41,,B,"S/O JCT RTE 405;N/O RINALDI ST",174000,5255,3.02,3190,60.7,838,15.94,600,11.41,628,11.95,494,17,V
